id,name,ammo,category,weight,price,description
83,Gauss rifle,24,7, 7, 3000,"The scoped Gauss rifle is an advanced sniper rifle that uses a series of eleven electromagnetic coils to energize and magnetize a preloaded standard projectile round to a tremendous speed.[1] In appearance, it is almost identical to the Gauss rifle acquired after finishing the Fallout 3 add-on Operation: Anchorage, apart from the addition of an extra pad on the buttstock."
84,186,24,7, 8, 3000,"The YCS/186 is a unique variant of the Gauss rifle. It looks like a standard Gauss rifle, but with a sandy or rusted texture along the barrel and main body, and it sports black stripes on the wooden stock. It has 4 more coils around the barrel, possibly explaining the greater weight and damage, while remaining the same length. The lens of the scope is tinted an unusual shade of red. The YCS/186 uses 4 microfusion cells per shot, instead of the normal 5 of a standard Gauss rifle. It is slightly more accurate and has 20 more item HP than the standard variety. Its only drawback over the base model is a slightly increased weight, at 8 pounds instead of 7."
85,Holorifle,24,7, 8, 3000,"The holorifle is a scoped, pump-action energy based weapon. The weapon's main body is similar in appearance to that of a grenade launcher. The scope of the weapon also appears similar to that of a laser rifle scope, but with the advantage that the holorifle's scope features integrated night vision. However, the magnification level of the holorifle scope is only 2.86x, compared to the 3.5x magnification of the laser rifle scope."
86,LAER,24,7, 4, 8000,"The LAER resembles a mix of many existing energy weapons; the barrel looks like the pulse gun, the microfusion cell is held in a basket on the bottom like a plasma rifle, the stock is similar to a laser rifle, and it displays vacuum tubes similar to a recharger rifle. It also offers very high damage (on par with the plasma caster) for low ammunition consumption making it a great all around weapon."
87,Elijah's advanced LAER,24,7, 4, 8500,"This weapon is identical to the LAER in appearance, but differs in ammunition capacity by having five fewer shots per magazine and a slightly increased rate of fire. This gives it a higher damage-per-second (DPS), but also makes it much less durable. Given the original variant's fragility, its condition is a major concern, especially when using over-charged, optimized, or max charge ammunition."
88,Laser RCW,21,7, 4, 2150,"With adequate Energy Weapons skill and Strength, this weapon exhibits moderate accuracy due to a high spread for a laser weapon, making it useful for taking down enemies at almost any range. As a direct energy weapon, it has no recoil, allowing for continuous fire without muzzle climb. However, using it extensively on full-auto requires large amounts of ammunition. A partial solution to this problem is to apply the Laser RCW recycler modification, which recycles every fourth discharge. It also has the second lowest critical chance of any energy weapon in the entire game."
89,Laser rifle,24,7, 8, 800,"The laser rifle has no iron sights, but compensates with excellent zoom. It can be upgraded with a scope, making it less effective in close quarters, but thanks to its good accuracy, it can be used as a medium to long-range weapon. The laser rifle makes a decent starting weapon, but with all mods it is extremely powerful, even at high levels."
90,AER14 prototype,24,7, 8.5, 2200,"The AER14 uses two microfusion cells per shot and has a unique green laser instead of the normal red laser, different from a standard laser rifle. It doesn't have iron sights view and cannot be modded using laser rifle mods, though it can be repaired with normal laser rifles. The AER14 is also visually longer than the standard AER9 laser rifle."
91,Van Graff laser rifle,24,7, 8, 800,"A unique variant of the AER9 laser rifle received from the Van Graffs. It is received in max condition. Overall, it has less damage, less item HP and less critical damage but requires less Energy Weapons skill (0 as opposed to 25)."
92,Multiplas rifle,24,7, 7, 2500,"The multiplas rifle is a plasma-based weapon, bearing a similar appearance to the plasma rifle. It is most easily distinguished by its three plasma barrels at the rifle's tip, which fire three very destructive rounds of plasma. It uses one round per projectile, for a total ammunition consumption of three rounds per trigger press. Like most plasma-based weapons, the multiplas rifle causes a large green burst of plasma upon firing which partially obstructs view. In addition, the plasma bolts travel at a slow rate, resulting in the need to lead the shot."
93,Plasma rifle,24,7, 8, 1300,"Compared to its Fallout 3 counterpart, this plasma rifle has a much lower damage-per-second rating with only a slight improvement in damage. Factoring in the transition from the Damage Resistance system to the Damage Threshold system, the plasma rifle is vastly underpowered compared to its Fallout 3 iteration."
94,Van Graff plasma rifle,24,7, 8, 1300,This weapon is a unique variant of the plasma rifle and is received in max condition from the Van Graffs. This variant consumes microfusion cells at the same rate as the standard plasma rifle.
95,Q-35 matter modulator,24,7, 7, 3000,There are numerous differences between this weapon and the standard variant in terms of combat capability:
96,Recharger rifle,24,7, 15, 250,"It recharges itself at about a round every second, requiring the player to pace their shots to compensate."
97,Tri-beam laser rifle,24,7, 9, 4800,"The tri-beam laser rifle has the appearance of a ""sawed-off"" laser rifle, missing the tube on the bottom length of the barrel, being rather shorter than other models, and having a new emitter aperture and attached wires. The new emitter fires three laser beams with each shot. While uncommon in the wasteland, it can be readily found with the New Vegas Brotherhood of Steel. It uses 3 microfusion cells when fired. This weapon  degrades very quickly and is very expensive to repair. With the Jury Rigging perk it can be repaired by normal laser rifles."
98,Arc welder,21,8, 15, 3700,"The arc welder is essentially an electrostatic discharge gun using electron charge packs, capable of shooting a constant, high-voltage stream of lightning, similar to how a flamer expels burning gas. It does bonus damage against robots (+8) and power armor (+4), excluding NCR salvaged power armor. With it equipped, the Courier wears a backpack with similar texture to the weapon itself, akin to the flamer."
99,Flamer,23,8, 15, 2350,"It is identical to the the Fallout 3 version, but can now be modded with the flamer expanded tanks. Also, it is now an Energy Weapon instead of a Big Gun like in Fallout 3. With a high enough Energy Weapons skill, the flamer is an extremely effective weapon at killing all forms of unarmored and lightly armored enemies (giant ants, most humans, cazadores, mantis, and spore carriers). It produces a cone of fire from the nozzle, capable of hitting multiple enemies or allies simultaneously. Additionally, it is capable of hitting multiple body parts and inflicting widespread damage."
100,Cleansing Flame,23,8, 22, 9500,"Cleansing Flame is a modified, high-capacity flamer. Unlike the standard variant it has three jet nozzles, three large fuel tanks, and orange cables. The flame jet is blue rather than the usual red, indicating that the flame burns hotter than standard flamers."
101,Gatling laser,21,8, 18, 6800,"This weapon has a Strength requirement of 8 to use effectively and uses electron charge packs as ammunition. It deals very high damage per second (DPS), particularly when used with a high Energy Weapons skill, focus optics mod and max-charged or over-charged ammunition."
102,Sprtel-Wood 9700,21,8, 15, 20000,"The Sprtel-Wood 9700 is a high-speed Gatling laser that shoots green lasers, similar to the AER14 prototype. It has an ammunition capacity of 90 electron charge packs and moderate weapon spread. The Sprtel-Wood 9700 can inflict 16 damage per hit in good condition, but it has a slightly below-average critical hit chance for an automatic weapon."
103,Heavy incinerator,23,8, 15, 7200,"Visually, the heavy incinerator is similar to the regular incinerator, but with an additional fuel tank and hose attached to the side. Firing at a faster rate than its smaller cousin, its rate of fire is equivalent to the heavy incinerator in Fallout 3. Like the incinerator, it lobs large fireballs in a large arc similar to the grenade machinegun. It has greater range and damage compared to the regular incinerator, but less accuracy."
104,Incinerator,23,8, 12, 1300,"This weapon launches balls of fire which ignite foes from a distance (unlike its sibling, the flamer, which requires the user to be in close proximity of its foe). It's notably different from the heavy incinerator as it has a slower rate of fire, shorter range, and a less potent projectile. It does, however, possess a smaller spread."
105,Plasma caster,24,8, 20, 7000,"The plasma caster is a powerful energy weapon, having a rather low AP cost and high rate of fire. Compared to its rifle-based counterpart, it outclasses it in both damage and fire rate as well as ammunition consumption, using only one Microfusion cell instead of two per shot. Finally, it is slightly more durable. It pays for these advantages however in weight and accuracy: its far larger base spread is compounded by the insane skill and strength requirements to handle this weapon, and at 20 pounds it is the heaviest energy weapon in the game save for the GRA Cleansing Flame. Finally, it is rare and not very durable so the Jury Rigging perk or weapon repair kits may be necessary for continuous use of this weapon."
106,The Smitty Special,24,8, 20, 20000,"This weapon is a GRA plasma caster with numerous modifications to increase performance. Most notably, it features a shorter barrel with larger, fan-shaped magnetic stabilizing claws on the end, and thick orange tape around the shaft. The body is also cleaner and darker green in color, with additional hardware on the side and one large yellow vacuum tube replacing two of the tubes on the front-right side."
107,Tesla cannon,21,8, 8, 8700,The Tesla cannon is a shoulder-mounted energy weapon that is powered by electron charge packs. This weapon has a high Strength requirement for its weight and the fact that it's a recoilless energy weapon. The sound of the Tesla cannon firing has also been changed from the one in Broken Steel. The Tesla cannon is considered a unique class of weapon and therefore cannot benefit from the Jury Rigging perk.
108,Elijah's jury-rigged Tesla cannon,21,8, 8, 13500,"This weapon is identical in appearance to the Tesla-Beaton prototype, although its damage is between that and the regular Tesla cannon. It also holds more ammunition, allowing for six shots to be fired before reloading and is more durable than the Tesla-Beaton prototype, while only inflicting slightly less damage. It has the benefit of no spread at all, allowing for accurate fire if the skill requirements are met. Even though the weapon is slightly more practical than its counterparts in direct combat, its high value and low durability make it the most costly model to maintain with repeated use."
109,Tesla-Beaton prototype,21,8, 8, 12525,"The Tesla-Beaton prototype appears to be similar to the Tesla cannon, but with an orange glow instead of blue, and a fully encased energy emitter. It also has several exposed wires and various lights attached to the casing, giving it a more makeshift appearance. Prior to patch 1.3.0.452, each shot expended 45 electron charge packs, but it now expends 6 electron charge packs per shot, with a magazine capacity of 24. Also, the patch removed the prototype's AOE blast damage. Unlike the original Tesla cannon, it only has half the HP. This is likely due to it being in the prototype stage. Because of this issue, the need for constant repair makes it a less practical weapon for repeated use."
110,25mm grenade APW,none,9, 8, 4200,"The 25mm grenade APW is a semi-automatic grenade launcher. It gives the player the death-dealing capability of the grenade machinegun in a more portable package. Specifically, this weapon contains a stock magazine capacity of six grenades, a brisk rate of fire, decent accuracy and allows modifications. "
111,Fat Man,none,9, 30, 6000,"The Fat Man is a shoulder-mounted tactical nuclear catapult. It is heavy, especially in Hardcore mode when combined with its mini nuke ammunition, but very powerful."
112,Esther,none,9, 40, 18000,"Esther is a unique, heavily modified Fat Man with a different rear mechanism, a blast shield, a light-blue body, and a thick clear glass or plastic bed holding the mini nukes. It is 10 pounds heavier than a standard Fat Man. However, it is more durable, never jams, costs 10 less Action Points per attack, is more powerful by 75 direct damage compared to the Fat Man, and is able to use the GRA mini nuke ammo types. "
113,Grenade machinegun,none,9, 15, 5200,"The grenade machinegun is a powerful rapid-fire weapon which uses 25mm ammunition. The attached computer monitor appears to show the weapon's feed system and other details, although this is purely cosmetic and does not reflect actual use."
114,Mercy,none,9, 15, 5200,"Its higher damage comes at the cost of using 40mm grenades, which are less common and more expensive than the 25mm grenade used by standard grenade machineguns. The larger size of the 40mm grenades also restricts its ammunition capacity to 18 grenades, which is 12 fewer than the regular grenade machinegun. The 40mm grenade is also heavier than its 25mm counterpart, further limiting the amount of ammo the player can carry in hardcore mode without being over-encumbered. Like most unique weapons, Mercy cannot be modded. This weapon looks extremely rusted and heavily used.  "
115,Grenade launcher,none,9, 12, 4200,"The grenade launcher is a pump-action operated weapon, firing 40mm grenades from a tubular magazine. Despite being only slightly larger than the grenade rifle, it has twice the weight."
116,Grenade rifle,none,9, 6, 300,"The grenade rifle launches 40mm grenades over a respectable distance. Although its range is longer than regular hand grenades and the fuse is impact-triggered instead of timed, its ammunition is less powerful and its single-shot, break-action design makes rapid fire impossible. Unlike the grenade launcher, it requires a Strength of 3 to carry."
117,Great Bear grenade rifle,none,9, 5, 950,"It has the appearance of a grenade rifle, but with a blue American Army-like symbol on the stock."
118,Mercenary's grenade rifle,none,9, 5.5, 300,"Very similar to other 40mm grenade rifles in the Mojave Wasteland; the only differences are the darker tone of both the wood and metal, lighter weight and no requirement of 25 in Explosives skill. Unlike the majority of unique weapons variants, it can be modded with the grenade rifle long barrel."
119,Red Victory grenade rifle,none,9, 4, 950,"It has the appearance of a grenade rifle, but with a red and yellow Chinese flag design on the stock. It was brought in as a gift for a general in the United States military and is found with a number of 40mm grenade rifle rounds. "
120,Thump-Thump,none,9, 5.5, 800,"Thump-Thump is a unique grenade rifle which has the extended range of a barrel extension mod found in its common counterparts and enhanced AoE radius. It also has 30% faster attack speed, 0.5 lower weight, and is 25% more durable compared to a standard grenade rifle. It also has a unique texture and the words ""Thump-Thump"" scrawled on the side with an arrow pointing towards the muzzle. There is also a drawing of an angry beaver with red eyes holding a rifle on the stock. Standard 40mm grenades fired from this weapon will have twice the velocity as ones fired from other grenade rifles."
121,Missile launcher,none,9, 20, 3900,"The missile launcher is a shoulder-fired Explosives weapon. It is heavy but powerful, and can fire several types of missiles. Multiple enemies can be hit with a single shot due to the blast radius of the explosion. Enemies not killed by the blast will often have multiple limbs crippled and will be easier to dispatch."
122,Annabelle,none,9, 15, 5200,"Annabelle is a unique missile launcher which appears to have a long history of service. Drawings on the front show a maple leaf with four markings and the stars from the Chinese flag, indicating that the weapon was used during the annexation of Canada and in at least one military campaign in China. The drawing on the back of the launcher reads ""Annabelle."""
123,Red Glare,none,9, 20, 15000,"Red Glare feeds from a 13 round rocket canister and is fully automatic, capable of emptying its magazine in a matter of seconds. It is fitted with a scope, which makes it effective at mid to long range. A bright red light is emitted from the weapon when firing, as well as from the rockets during flight and impact."
124,Dynamite,none,10, 0.3, 25," Dynamite comes in sticks with fuses that stick out of them. Once lit, they are tossed at a hostile and will damage or kill them. It only requires 1 Strength to use this very lightweight explosive weapon. However, it has a rather small blast radius for an explosive, which reduces its effectiveness against groups of enemies, while at the same time making it less of a friendly fire hazard.
 Alternatively, one may place it on the ground by dropping it and then detonate it by gun fire or another explosive. Unlit dynamite sticks detonated by external means deal 75 explosion damage, unaffected by the Courier's skill or perks. Dropping multiple sticks as a single pack will only yield the effect of a single stick. Detonating dropped sticks will add up, however.
 Contrary, when an ignited (thrown) dynamite is shot the resulting explosion deals no damage.
 Despite having words ""inert"" on both sides of the stick, near the fuse, the stick of dynamite is very much capable of exploding.
 It also has two American flags on each side of the stick, which look like the real-world American flag, as opposed to the different design used in the Fallout universe.
 The fuse takes 3 seconds to burn."
125,Fire bomb,none,10, 0.5, 200,"It is a Molotov cocktail made out of a Sunset Sarsaparilla bottle, filled with a flammable substance and stuffed with a rag to ignite it. It will also turn enemies into piles of green goo if the killing blow is a Critical Hit, similar to that of plasma-based energy weapons."
126,Flash bang,none,10, 0.5, 50,"The flash bang is a different type of grenade that deals fatigue damage. In addition, they also reduce enemy weapon skills and have a chance to frenzy tunnelers. Upon detonation, the grenade releases a large explosion of blue colored energy."
127,Frag grenade,none,10, 0.5, 150,"The standard thrown explosive device used by militaries worldwide before the Great War, the frag grenade causes a lethal blast sending metal shrapnel flying in all directions up to 35 meters. Useful against groups of unarmored enemies, or for hitting enemies around corners by banking grenades off walls. To throw the frag grenade, simply press the Fire button, the longer it is held the farther the grenade will go. The arc at which the player is throwing it is also a major factor for determining the distance it will travel and land."
128,Holy Frag Grenade,none,10, 0.5, 500,"In appearance they look similar to a normal frag grenade, with the exception of a white cross painted on the side. When detonated, rather than a normal frag grenade explosion, Holy Frag Grenades explode in a manner similar to a mini nuke. There will also be radiation in the area it detonated. "
129,Incendiary grenade,none,10, 0.5, 200,"The incendiary grenade is a thrown explosive device. Targets caught in the blast radius will take fire damage, and continue to burn for several seconds after the initial detonation."
130,Long-fuse dynamite,none,10, 0.3, 25,"Long-fuse dynamite is just like normal dynamite but, as the name suggests, has a longer fuse, which lasts for 6 seconds. Unlike powder charges, dynamite explodes when you shoot it, either in the hand of an enemy or on the ground when it is dropped. If you'd rather not wait for six seconds, use V.A.T.S. to deliver the throw. Your target tends to wait patiently for the dynamite to explode."
131,MFC grenade,none,10, 0.5, 15,"The MFC grenade is a powerful improvised weapon, created by converting three microfusion cells into a thrown explosive device. It has a wide blast radius and similar visual effects to a plasma grenade."
132,Nuka-grenade,none,10, 0.5, 50,"The Nuka-grenade is an extremely powerful improvised explosive device. It incorporates the radioactive properties of a relatively rare Nuka-Cola variant to produce an enhanced plasma blast. Upon detonation, the target area also becomes irradiated for a short time afterwards."
133,Plasma grenade,none,10, 0.5, 300,The plasma grenade packs more punch than the standard frag grenade and can turn enemies into puddles of glowing green goo if a Critical Hit is achieved. Plasma grenades are also a Holdout weapon.
134,Pulse grenade,none,10, 0.5, 40,"When combined with mid to high explosives skill, the pulse grenade makes very short work of any sentry bot, protectron, Mister Handy, or any other drones or turrets. The pulse grenade is one of the most effective anti-robot weapons in the game, next to the pulse gun. Visually, when used the pulse grenade will make an electrical sphere, damaging anything inside. It can be enhanced with various perks, such as Demolition Expert, and Splash Damage. It only does light-to-moderate damage to non-robot enemies, but is also very effective against enemies wearing power armor."
135,Tin grenade,none,10, 0.5, 25,"The tin grenade is an improvised thrown explosive device; it is created at a workbench and assembled from scrap. A tin can is used for both the casing and for shrapnel, pistol powder for the explosive and duct tape to hold it all together. The tin grenade can be used to complete the Gun Runners' Arsenal challenge called Crackerjack Timing."
136,Bottlecap mine,none,11, 0.5, 150,"The bottlecap mine is a powerful improvised weapon. It functions like other proximity mines, but takes the player slightly more time to arm and drop. It also has a longer warning sound before detonating. Like other placed explosives, it cannot be used in V.A.T.S."
137,C-4 plastic explosive,none,11, 0.5, 1000,"The M112 Demolition Charge model of C-4 plastic explosive is a powerful, high-tier explosive weapon. It can be placed on the ground like proximity mines, but will not detonate when enemies are near- instead, one must use the detonator to set them off. This makes C-4 useful for setting traps to kill unsuspecting enemies by placing it in their path, moving far away and setting off the explosive. If multiple C-4 charges are dropped, they will all go off simultaneously when the detonator is activated."
138,Demolition charge,none,11, 1.5, 75,"The demolition charge looks similar to a normal frag mine but has a black striped yellow case and a bright yellow light, rather than a small red one."
139,Detonator,none,11, 0.5, 25,"The detonator is specifically used to detonate C-4 after it is planted. During Eureka!, it may also be used to detonate a generator at the Hoover Dam checkpoint after hacking a Very Hard terminal. The tool itself has no other use, and is unable to harm enemies by itself."
140,Fat mine,none,11, 3.25, 275,"The fat mine is a mine, created by converting a mini nuke into a placed improvised explosive device. Like other mines, it cannot be used in V.A.T.S.."
141,Frag mine,none,11, 0.5, 75,The frag mine is a placed explosive device. When approached by an enemy it emits a beep shortly before exploding. It can be disarmed while close to it by interacting with it.
142,Gas bomb,none,11, 5, 100,The gas bomb is an improvised explosive incendiary device. It is constructed from sensor modules strapped to a fire extinguisher.
143,MFC cluster,none,11, 0.5, 110,"The MFC cluster is a powerful improvised explosive weapon. It is essentially six independent MFC grenades wrapped up together and rigged to explode like mines (in keeping with this theme, note that the MFC cluster requires six times as many microfusion cells as one MFC grenade). When used, the player flings all six of the mines at the same time, which then separate into six different projectiles. The mines bounce off surfaces when thrown, and can cover a large distance very quickly by ricocheting."
144,Plasma mine,none,11, 0.5, 300,"A mine that can be placed on the ground. When it senses an enemy movement in a small radius, it releases a powerful burst of plasma."
145,Powder charge,none,11, 0.5, 25,"The powder charge is a crude improvised explosive consisting of a sealed tin can packed with dynamite, with a sensor module duct-taped to the side."
146,Pulse mine,none,11, 0.5, 40,"It is a mine that can be placed on the ground. When stepped on by an enemy, it releases a powerful burst of electricity similar to the pulse grenade. It deals substantial damage to robots and characters wearing power armor, but only minor damage to other targets. Despite the very low damage output, reverse pickpocketing one will still kill the target but will cause very little damage to the Courier if they can't get out of the blast radius."
147,Satchel charge,none,11, 0.75, 125,"The satchel charge is a placed explosive, and functions like other proximity mines. However, it has a significantly shorter fuse than other types. Unusually, even players with a very high Explosives skill will set off enemy-placed charges almost immediately. It is deceptively powerful for the simplicity of its construction, besting even the bottlecap mine, often crippling a limb upon detonation if one gets caught in the blast. The satchel charge also bests the bottlecap mine by being far easier to craft and using far more common materials. This is offset by its higher Strength and skill requirements, as well as its weight."
148,Time bomb,none,11, 0.5, 750,"The time bomb is an improvised explosive weapon. Unlike a proximity mine, once activated it cannot be disarmed, and will automatically detonate after 15 seconds. It is a placed explosive, and cannot be used in V.A.T.S. While most other placed explosives are flat, the time bomb is rounded, and thus it is capable of rolling down inclines and bouncing off objects instead of remaining in place once set. This weapon can be used to earn the Gun Runners' Arsenal challenge, Crackerjack Timing."
149,"Time bomb, high yield",none,11, 0.5, 750,"The high yield time bomb is a more powerful version of the improvised Explosives weapon. It is a placed explosive, and as such cannot be thrown like a grenade or used in V.A.T.S. Unlike a proximity mine, once activated, it will automatically detonate after 15 seconds."
150,Bowie knife,none,12, 1, 1000,"The Bowie knife has a large clip-point blade and a riveted brown handle. Small contact marks mar the edge, and streaks of what appears to be blood can be seen running across the sides of the blade and the hilt. The blade is stamped with the serial number 02280."
151,Blood-Nap,none,12, 1, 2000,"Blood-Nap is a unique variant of the Bowie knife that does bonus critical damage, gives a bonus critical chance and adds +10 to Sneak."
152,Bumper sword,none,12, 12, 2500,"The bumper sword, as the name suggests, consists of a rusty car bumper that has been flattened and sharpened into a thick, heavy blade. The license plate is still attached, and an exhaust pipe strapped to the unsharpened end serves as a makeshift handle."
153,Blade of the East,none,12, 12, 45,"The Blade of the East has an effect of -2 hp for 10 seconds. It appears that the only cosmetic difference between The Blade of the East and a bumper sword is that it does not have a license plate on the underside of the sword. Legate Lanius can be seen hitting NCR (non-veteran) rangers with it, dismembering and getting one-hit kills. The weapon can also cause your enemies to fly backwards and be knocked out."
154,Blade of the West,none,12, 12, 5700,"A smaller, stronger variant of the bumper sword. It is slightly weaker than the Blade of the East, held by Lanius, though it has a higher DPS. It is cleaner in appearance than the bumper sword and Blade of the East, with a polished blade and without rope connecting the bumper and pipe."
155,Chainsaw,none,12, 20, 2800,"A fusion-powered chainsaw which requires two hands to use. The weapon is heavy, but deals considerable damage because its continuous cutting action allows it to bypass Damage Resistance and Damage Threshold. Unlike most melee weapons, holding down the attack button when wielding the chainsaw will cause continuous damage to targets in contact with the blade."
156,Cleaver,none,12, 2, 20,"The cleaver was designed to chop hunks of meat for use in butcher's shops, but has since been repurposed as a melee weapon. It also does bonus damage to limbs."
157,Chopper,none,12, 2, 800,"The Chopper is an aged and rusted version of a cleaver with white tape wrapped around the handle, and with the blade curved upward. Additionally, it deals more damage than a normal cleaver, including higher Critical Hit and limb damage."
158,Combat knife,none,12, 1, 500,"A large knife designed for both combat and survival purposes. It has a long, clip-point blade with serrations along the  back intended for cutting rope and small branches."
159,Chance's knife,none,12, 1, 900,"This knife belonged to Chance, one of the Great Khans and a prominent character in the graphic novel All Roads. The blade is still stained by the blood of the Fiends it last killed at the tribal village. With a Melee Weapons skill of 100 and all of the damage and attack speed boosting perks, its DPS becomes as prominent as Oh, Baby!, which is an outstanding feat, considering it has 5% of the weight (2.5% with Pack Rat). The only downside is that the lower DAM makes it more vulnerable to high-DT enemies, which is offset somewhat by poisons. Also, because of the fact that it is near Goodsprings, if the player can survive the nearby cazadores, this weapon can be had at a very early level."
160,Cosmic knife,none,12, 1, 35,"“The alloy that makes up the Pre-War kitchen knives is unknown, and seems to have decayed in contact with the toxic cloud.”— Loading screen"
161,Cosmic knife clean,none,12, 1, 50,"The cosmic knife clean is a melee weapon almost identical in appearance to the standard variant, except all the cloud residue has been cleaned off, revealing a smooth, shiny blade."
162,Cosmic knife super-heated,none,12, 1, 50,"The cosmic knife super-heated appears as an ordinary cosmic knife with an orange glow. It will set enemies on fire for a brief period when a critical hit is made. It also has a significantly higher critical multiplier than the other variants, as well as bonus limb damage."
163,Fire axe,none,12, 8, 2500,"The fire axe is a wooden handled axe with a heavy steel head intended for firefighting use. It has a broad finely sharpened front blade and a sharp pick point on the rear of the head. The long hardwood handle allows for sweeping attacks at reasonable distance and is partially rubber coated to ensure a good grip on the weapon. Originally designed for breaking down walls and doors, this weapon can inflict severe damage to a soft target. "
164,Knock-Knock,none,12, 8, 3200,"Knock-Knock is a cleaner, more powerful version of the fire axe, with a matte black handle and a polished steel head with a longer fluke."
165,Hatchet,none,12, 2, 75,"It is a hand-axe with a rubber-gripped wooden handle for chopping wood and limbs alike. Unlike throwing hatchets, these are not balanced for use as a projectile weapon. Hatchets deal an additional 50% Limb Damage."
166,Katana,none,12, 3, 2500,"The single-edged, razor-sharp blade is extremely effective against most enemies, because it has a high attack speed of over three hits per second."
167,Knife,none,12, 1, 20,"A simple chef's knife with low melee damage. Extremely common to the point of being cheap clutter. It is one of the required components in the crafting of the weapon binding ritual in the Honest Hearts add-on. Its availability and low cost makes it ideal for repairing higher-ended one-handed melee weapons with the Jury Rigging perk. It is also a (basic) holdout weapon, and so can be brought into areas where weapons are restricted regardless of the character's sneak skill."
168,Knife spear,none,12, 3, 55,The knife spear is a two-handed Melee weapon often carried by the ghost people of the Sierra Madre. It is constructed by duct-taping four cosmic knives to the end of a broom stick handle.
169,Knife spear clean,none,12, 3, 55,"The knife spear clean is a two-handed melee weapon. It is similar in appearance to the regular knife spear, but it does 5 more DAM, has a higher critical hit chance and causes bonus limb damage."
170,Machete,none,12, 2, 50,"The machete appears to be a makeshift weapon, and consists of a lawn mower blade strapped to a wooden handle. It is the primary melee weapon of Caesar's Legion. Aside from having a low Strength requirement, it also does bonus damage to limbs."
171,Broad machete,none,12, 1, 75,"The broad machete has a unique world model and an appearance that sets it apart from other machetes; the bolo-style blade is well-traveled and well-honed, making it a more conventional machete as opposed to the makeshift design used by the Legionaries. It also has a unique Pip-Boy icon when selected. The broad machete has considerably higher DPS (especially at higher levels), and a higher base damage as well. These factors make it an excellent weapon for melee-based characters, especially early on, where the broad machete tends to outperform other melee weapons by a considerable factor. Its forward power attack is more akin to non-player character power attacks, as well."
172,Liberator,none,12, 2, 1000,"Liberator is a unique machete that sports a higher damage per hit and triple the damage per second. Even though it is a unique weapon, it shares the same appearance as any other machete."
173,Machete gladius,none,12, 2, 1000,"The wide blade at the head with an indentation into the blade towards the hilt is designed to give more weight to the head of the blade, allowing for more momentum with slashes. Like a machete, it does bonus limb damage. It can be repaired with another machete gladius, or regular machetes. It has a fairly high DPS due to its speed, which allows up to 3.5 regular attacks per second; combined with its 28 base damage, it readily cuts through most armored enemies."
174,Proton axe,none,12, 8, 3500,"The proton axe resembles a futuristic war-axe with a glowing blue blade of electrical energy at its head. On the other side it has two capacitors which also share the same blue electric current. It does electrical damage with extra damage against robots and power armor users. It can be repaired with the inexpensive proton throwing axe, raising its resell value drastically."
175,Protonic inversal axe,none,12, 8, 4000,"The protonic inversal axe is a variant of the proton axe, having a dark blue-violet blade, whitish capacitors, and a black handle. Compared to the standard proton axe, it deals increased damage and much more critical damage, in addition to being much more durable. It is a very effective melee weapon against just about any enemy, especially robots or power armor users."
176,Ripper,none,12, 6, 1200,"This weapon is essentially a chainsaw compacted into knife form so that it can be wielded with just one hand. Nevertheless, the Ripper inherits many of the qualities of its larger version. The attack button can be held down and it will dismember anything in front of the player, much like a chainsaw or thermic lance, and its continuous cutting action means the Ripper ignores Damage Resistance and Damage Threshold. This makes it very good for handling multiple enemies or large, but slow, creatures."
177,Shishkebab,none,12, 3, 2500,"The Shishkebab is a flaming melee weapon which sets the target on fire upon impact. Although it appears to run on fuel from the tank on the player's back, it actually uses no fuel at all. Even though its blade is wreathed in fire, poisons can still be applied to the blade of the Shishkebab. The damage over time from the applied poison stacks with the immolation damage."
178,Gehenna,none,12, 3, 12000,"Gehenna is the GRA variant of the Shishkebab, a flaming melee weapon which sets the target on fire upon impact. It appears to run on fuel from the gas tank on the player's back, though its use in-game requires no fuel source."
179,Straight razor,none,12, 1, 35,"The straight razor is an old-fashioned shaving razor with a polished wooden handle. Though its blade is short, it's lightweight and can deliver several slashing hits in rapid succession. It also provides bonus Critical Chance benefits, and bonus Critical damage."
180,Figaro,none,12, 1, 400,"A unique variant of the straight razor, it features a slightly tarnished metal handle with a polished silver blade decorated with ornate etchings. It counts as a holdout weapon and therefore can be smuggled into casinos. The Figaro boasts superior damage and critical damage, attack speed and double the critical chance compared to the standard straight razor."
181,Switchblade,none,12, 1, 35,"It is a small knife whose blade is held in position with a spring. It has received a significant boost in damage compared to its counterpart in Fallout 3, but it is still one of the weaker melee weapons in the Mojave Wasteland. However, its small size makes it easily smuggled into restricted areas and makes for easy handling."
182,Thermic lance,none,12, 20, 5500,"The thermic lance is an industrial metalworking tool that heats and melts an iron tube packed with iron rods in the presence of pressurized oxygen, producing the high temperatures required for cutting through steel girders and other thick metal objects.[1] It is heavy, but deals considerable damage because its continuous penetrating action allows it to bypass the target's Damage Resistance and Damage Threshold. It is very durable, and also resists damage to itself if hit when used defensively (taking only 0.5% of normal durability damage). However, due to its automatic attack-type, it will degrade at a faster rate than other weapons when used."
183,9 iron,none,13, 3, 55,This old 9 iron is bent and battered after many years of exposure to the elements. 
